Type,State,Name of Facility (consistent with State license where relevant),Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category - To facilitate calculation of second-tier default benefits by insurers, the department has categorised all declared private hospitals into the following categories:"
PRIVATE,QLD,SPRING HILL SPECIALIST DAY HOSPITAL,0656641J,"1ST AND 4TH FLOOR, ST ANDREWS PLACE, NORTH STREET",SPRING HILL,4000,YES,25-11-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,SPRINGSURE HOSPITAL,0051190Y,21 WOODBINE STREET,SPRINGSURE,4722,NO,,
PRIVATE,VIC,SPRINGVALE ENDOSCOPY CENTRE AND DAY HOSPITAL,0894531L,20 BALMORAL AVENUE,SPRINGVALE,3171,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,SPRINGWOOD HOSPITAL,0012730Y,7 HUNTLEY GRANGE ROAD,SPRINGWOOD,2777,NO,,
PRIVATE,VIC,ST ALBANS ENDOSCOPY CENTRE,0043520X,328-330 STATION ROAD,ST ALBANS,3021,YES,06-01-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,ST ANDREW'S HOSPITAL INC,0065310B,350 SOUTH TERRACE & 321 SOUTH TERRACE ,ADELAIDE,5000,NO,,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,QLD,ST ANDREW'S IPSWICH PRIVATE HOSPITAL,0055420L,CNR RODERICK AND PRING STREET,IPSWICH,4305,YES,25-08-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,QLD,ST ANDREW'S TOOWOOMBA HOSPITAL,0055530H,280 NORTH STREET,TOOWOOMBA,4350,YES,26-09-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,QLD,ST ANDREW'S WAR MEMORIAL HOSPITAL,0055130A,457 WICKHAM TERRACE,BRISBANE,4000,YES,25-11-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,NSW,ST GEORGE HOSPITAL,0010410J,30 GRAY STREET,KOGARAH,2217,NO,,
PUBLIC,QLD,ST GEORGE HOSPITAL (QLD),0051160F,VICTORIA STREET,ST GEORGE,4487,NO,,
PRIVATE,NSW,ST GEORGE PRIVATE HOSPITAL,0017090X,1 SOUTH STREET,KOGARAH,2217,YES,08-11-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,VIC,ST GEORGE'S HEALTH SERVICE,0031130Y,283 COTHAM ROAD,KEW,3101,NO,,
PUBLIC,TAS,ST HELENS DISTRICT HOSPITAL,0080440A,CIRCASSION STREET,ST HELENS,7216,NO,,
PRIVATE,TAS,ST HELEN'S PRIVATE HOSPITAL,0085110A,186 MACQUARIE STREET,HOBART,7000,YES,01-12-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,VIC,ST JOHN OF GOD BALLARAT HOSPITAL,0035800K,101 DRUMMOND STREET NORTH,BALLARAT,3350,YES,15-12-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,ST JOHN OF GOD BENDIGO HOSPITAL,0036320X,133-145 LILY STREET,BENDIGO,3550,YES,27-09-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,ST JOHN OF GOD BERWICK DAY ONCOLOGY CENTRE,0044070Y,"LEVEL 1, 55 KANGAN DRIVE",BERWICK,3806,YES,08-07-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,ST JOHN OF GOD BERWICK HOSPITAL,0035080F,75 KANGAN DRIVE AND 3 GIBB STREET,BERWICK,3806,YES,08-07-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,WA,ST JOHN OF GOD BUNBURY HOSPITAL,0075200T,CNR ROBERTSON DRIVE & BUSSELL HIGHWAY,BUNBURY,6230,YES,20-07-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,NSW,ST JOHN OF GOD BURWOOD HOSPITAL,0016070J,13-21 GRANTHAM STREET,BURWOOD,2134,YES,05-08-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,VIC,ST JOHN OF GOD FRANKSTON REHABILITATION HOSPITAL,0036810A,255-265 CRANBOURNE ROAD,FRANKSTON,3199,YES,09-02-22,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PRIVATE,VIC,ST JOHN OF GOD GEELONG HOSPITAL,0035340A,80 - 83 MYERS STREET,GEELONG,3220,YES,23-01-24,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,WA,ST JOHN OF GOD GERALDTON HOSPITAL,0075210L,12 HERMITAGE STREET,GERALDTON,6530,YES,20-08-23,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,WA,"ST JOHN OF GOD HOSPITAL, SUBIACO",0075240H,12 SALVADO ROAD,SUBIACO,6008,YES,17-11-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,WA,ST JOHN OF GOD MIDLAND PUBLIC & PRIVATE HOSPITAL,0075700W,1 CLAYTON STREET,MIDLAND,6056,YES,01-07-23,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,WA,ST JOHN OF GOD MT LAWLEY HOSPITAL,0075160H,THIRLMERE ROAD,MOUNT LAWLEY,6050,YES,24-03-23,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,WA,ST JOHN OF GOD MURDOCH HOSPITAL,0075480L,100 MURDOCH DRIVE,MURDOCH,6150,YES,07-11-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,ST JOHN OF GOD PINELODGE CLINIC,0036560B,1480 HEATHERTON ROAD,DANDENONG,3175,YES,03-03-21,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,NSW,ST JOHN OF GOD RICHMOND HOSPITAL,0016080H,177 GROSE VALE ROAD,NORTH RICHMOND,2754,YES,05-08-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,VIC,ST JOHN OF GOD WARRNAMBOOL HOSPITAL,0035820H,136 BOTANIC ROAD,WARRNAMBOOL,3280,YES,24-12-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,WA,ST JOHN OF GOD WEMBLEY DAY SURGERY,0077190H,190 CAMBRIDGE STREET,WEMBLEY,6014,YES,17-11-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,ST JOSEPH'S HOSPITAL,0010430F,1 NORMANBY ROAD,AUBURN,2144,NO,,
PRIVATE,VIC,ST KILDA DAY HOSPITAL,0043810J,26A DICKENS STREET,ELWOOD,3184,YES,05-10-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,ST LUKE'S HOSPITAL,0017010L,18 ROSLYN STREET,POTTS POINT,2011,YES,16-12-23,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,SA,ST MARGARETS REHABILITATION CENTRE,0060040F,65 MILITARY ROAD,SEMAPHORE,5019,NO,,
PUBLIC,TAS,ST MARYS COMMUNITY HEALTH CENTRE,0080180F,GARDINERS CREEK ROAD,ST MARYS,7215,NO,,
PRIVATE,QLD,ST STEPHENS HOSPITAL HERVEY BAY,0057320A,1 MEDICAL PLACE,URRAWEEN,4655,YES,26-11-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,NSW,ST VINCENT'S HOSPITAL (DARLINGHURST),0010460Y,390 VICTORIA STREET,DARLINGHURST,2010,NO,,
PUBLIC,NSW,ST VINCENT'S HOSPITAL (LISMORE),0012040B,DALLEY STREET,LISMORE,2480,NO,,
PUBLIC,VIC,ST VINCENT'S HOSPITAL (MELBOURNE) LTD,0031140X,41 VICTORIA PARADE,FITZROY,3065,NO,,
PRIVATE,NSW,ST VINCENT'S PRIVATE COMMUNITY HOSPITAL GRIFFITH,0017550H,41-45 ANIMOO STREET,GRIFFITH,2680,YES,29-06-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,NSW,ST VINCENT'S PRIVATE DAY SURGERY LISMORE,0883671B,77 URALBA STREET,LISMORE,2480,YES,02-01-24,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,ST VINCENT'S PRIVATE HOSPITAL (DARLINGHURST),0016150J,406 VICTORIA STREET,DARLINGHURST,2010,YES,17-01-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,NSW,ST VINCENT'S PRIVATE HOSPITAL (LISMORE),0017030J,DALLEY STREET,LISMORE,2480,YES,02-01-24,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,QLD,ST VINCENT'S PRIVATE HOSPITAL BRISBANE,0055570Y,411 MAIN STREET,KANGAROO POINT,4169,YES,06-07-22,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,ST VINCENT'S PRIVATE HOSPITAL EAST MELBOURNE,0035500A,159 GREY STREET,EAST MELBOURNE,3002,YES,13-12-22,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,ST VINCENT'S PRIVATE HOSPITAL FITZROY,0036340T,59-61 VICTORIA PARADE,FITZROY,3065,YES,13-12-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,ST VINCENT'S PRIVATE HOSPITAL KEW,0036470F,5 STUDLEY AVENUE,KEW,3101,YES,13-12-22,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,QLD,ST VINCENT'S PRIVATE HOSPITAL NORTHSIDE,0056000B,627 RODE ROAD,CHERMSIDE,4032,YES,18-03-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,ST VINCENTS PRIVATE HOSPITAL WERRIBEE,0036980F,240 HOPPERS LANE,WERRIBEE,3030,YES,13-12-22,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,QLD,ST. VINCENT'S PRIVATE HOSPITAL TOOWOOMBA,0055460F,22-36 SCOTT STREET,TOOWOOMBA,4350,YES,18-03-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,QLD,STANTHORPE HOSPITAL,0051200L,8 MCGREGOR TERRACE,STANTHORPE,4380,NO,,
PUBLIC,VIC,STAWELL REGIONAL HEALTH,0031110B,27-29 SLOANE STREET,STAWELL,3380,NO,,
PRIVATE,TAS,STEELE STREET CLINIC,0087010K,166 STEELE STREET,DEVONPORT,7310,YES,15-04-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,WA,STIRLING DIALYSIS CLINIC,0077230T,1 PUCCINI COURT,STIRLING,6021,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,STIRLING HOSPITAL INC,0065340X,20 MILAN TERRACE,STIRLING,5152,YES,16-03-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,VIC,STONNINGTON DAY SURGERY,0043560K,LEVEL 1; 253 WATTLETREE ROAD,MALVERN,3144,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,SA,STRATHALBYN AND DISTRICT HEALTH SERVICES,0060520K,14 ALFRED PLACE,STRATHALBYN,5255,NO,,
PRIVATE,NSW,STRATHFIELD PRIVATE HOSPITAL,0015070W,3 EVERTON ROAD,STRATHFIELD,2135,YES,28-08-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,SA,STREAKY BAY HOSPITAL,0060530J,1 FLINDERS DRIVE,STREAKY BAY,5680,NO,,
PRIVATE,WA,SUBIACO PRIVATE HOSPITAL,0075660J,"SUITE 9, 1 SALVADO ROAD",SUBIACO,6008,YES,16-12-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,VIC,SUNBURY DAY HOSPITAL,0044020J,7 MACEDON STREET,SUNBURY,3429,NO,,
PRIVATE,WA,SUNDEW DAY SURGERY,0075720L,24 SUNDEW RISE,JOONDALUP,6027,YES,18-02-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,SUNNYBANK PRIVATE HOSPITAL,0055720A,245 MCCULLOUGH STREET,SUNNYBANK,4109,YES,04-02-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,QLD,SUNSHINE COAST DAY SURGERY,0657801A,CNR MEMORIAL & SECOND AVENUES,MAROOCHYDORE,4558,YES,06-07-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,SUNSHINE COAST HAEMATOLOGY AND ONCOLOGY CLINIC,0926591Y,8-10 KING STREET,BUDERIM,4556,YES,22-04-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,SUNSHINE COAST UNIVERSITY HOSPITAL,0051960W,6 DOHERTY STREET,BIRTINYA,4575,NO,,
PRIVATE,QLD,SUNSHINE COAST UNIVERSITY PRIVATE HOSPITAL,0056110X,3 DOHERTY STREET,BIRTINYA,4575,YES,27-01-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,SUNSHINE DIALYSIS CLINIC,0044130B,"LEVEL 1, 147-149 FURLONG ROAD",SUNSHINE,3021,YES,01-02-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,SUNSHINE HOSPITAL,0031910T,176 FURLONG ROAD,ST ALBANS,3021,NO,,
PRIVATE,VIC,SUNSHINE PRIVATE DAY SURGERY,0043530W,145 FURLONG ROAD,ST ALBANS,3021,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,SURAT HOSPITAL,0051210K,LOT 73 IVAN STREET,SURAT,4417,NO,,
PUBLIC,QLD,SURGICAL TREATMENT AND REHABILITATION SERVICE (STARS),0051980L,296 HERSTON ROAD ,HERSTON,4029,NO,,
PRIVATE,NSW,SURRY HILLS DAY HOSPITAL,0027040L,573 CROWN STREET,SURRY HILLS,2010,YES,05-05-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,SUSSEX DAY SURGERY,0999801A,"LEVEL 5, 401 SUSSEX STREET",SYDNEY,2000,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,SUTHERLAND HEART CLINIC,0017280L,"LEVEL 2, THE SUTHERLAND HOSPITAL, THE KINGSWAY",CARINGBAH,2229,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,WA,SWAN DISTRICTS HOSPITAL,0070950W,EVELINE ROAD,MIDDLE SWAN,6056,NO,,
PUBLIC,VIC,SWAN HILL DISTRICT HEALTH [SWAN HILL],0031160T,48 SPLATT STREET,SWAN HILL,3585,NO,,
PRIVATE,VIC,SYDENHAM DAY SURGERY,0044030H,566 MELTON HWY,SYDENHAM,3037,YES,24-11-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,SYDNEY ADVENTIST HOSPITAL,0016260B,185 FOX VALLEY ROAD,WAHROONGA,2076,YES,13-10-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,NSW,SYDNEY CHILDREN'S HOSPITAL,0012870J,HIGH STREET,RANDWICK,2031,NO,,
PRIVATE,NSW,SYDNEY CLINIC FOR GASTROINTESTINAL DISEASES,0657501L,"LEVEL 10, 1 NEWLAND STREET",BONDI JUNCTION,2022,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,SYDNEY DAY HOSPITAL,0027470L,"LEVEL 1, PARK HOUSE , 187 MACQUARIE STREET",SYDNEY,2000,YES,03-01-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,SYDNEY DAY SURGERY,0027030T,213-219 DARLINGHURST ROAD,DARLINGHURST,2010,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,SYDNEY DAY SURGERY - PRINCE ALFRED,0666411H,"RPAH MEDICAL CENTRE SUITE 106, 100 CARILLON AVENUE",NEWTOWN,2042,YES,11-01-24,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,SYDNEY HOSPITAL AND SYDNEY EYE HOSPITAL,0010500H,8 MACQUARIE STREET,SYDNEY,2000,NO,,
PRIVATE,NSW,SYDNEY OCULOPLASTIC SURGERY,0027200L,"LEVEL 7, 229 MACQUARIE STREET",SYDNEY,2000,YES,08-11-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,SYDNEY RETINA CLINIC & DAY SURGERY,0027140J,"LEVEL 13, 187 MACQUARIE STREET",SYDNEY,2000,YES,03-02-24,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,SYDNEY SOUTHWEST PRIVATE HOSPITAL,0016910H,32-40 BIGGE STREET,LIVERPOOL,2170,YES,27-10-23,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,NSW,SYDNEY SPECIALIST DAY HOSPITAL,0656931Y,"SUITE 501, 7 HELP STREET",CHATSWOOD,2067,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,SYDNEY SURGICAL CENTRE,0027460T,LEVEL 1 166-168 BELMORE ROAD,RANDWICK,2031,YES,01-02-22,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,SA,TAILEM BEND HOSPITAL,0060600K,PRINCES HIGHWAY,TAILEM BEND,5260,NO,,
PUBLIC,VIC,TALLANGATTA HEALTH SERVICE,0031170L,25 BARREE STREET,TALLANGATTA,3700,NO,,
PRIVATE,NSW,TAMARA PRIVATE HOSPITAL,0016700W,2-6 DEAN STREET,TAMWORTH,2340,YES,25-09-23,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,NSW,TAMWORTH RURAL REFERRAL HOSPITAL,0012090T,31 DEAN STREET,TAMWORTH,2340,NO,,
PUBLIC,SA,TANUNDA HOSPITAL,0060830X,15 MILL STREET,TANUNDA,5352,NO,,
PUBLIC,QLD,TARA HOSPITAL,0051230H,15 BILTON STREET,TARA,4421,NO,,
PUBLIC,QLD,TAROOM HOSPITAL,0051240F,MILLER STREET,TAROOM,4420,NO,,
PRIVATE,QLD,TASMAN HEALTH CARE DAY INFUSION UNIT,0057480H,"SUITE 2 & 8, LEVEL 3, 123 NERANG STREET",SOUTHPORT,4215,YES,04-06-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,TAS,TASMAN MULTI-PURPOSE CENTRE,0085200Y,MAIN ROAD,NUBEENA,7184,NO,,
PUBLIC,NSW,TEMORA HOSPITAL,0012100H,168-182 LOFTUS STREET ,TEMORA,2666,NO,,
PUBLIC,NT,TENNANT CREEK HOSPITAL,0095040F,41 SCHMIDT STREET,TENNANT CREEK,860,NO,,
PUBLIC,VIC,TERANG & MORTLAKE HEALTH SERVICE,0030820B,13 AUSTIN AVENUE,TERANG,3264,NO,,
PUBLIC,QLD,TEXAS HOSPITAL MULTIPURPOSE HEALTH SERVICE,0051250B,MINGOOLA ROAD,TEXAS,4385,NO,,
PRIVATE,SA,THE ADELAIDE CLINIC,0065030K,33 PARK TERRACE,GILBERTON,5081,YES,17-03-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PUBLIC,VIC,THE ALFRED,0030020L,55 COMMERCIAL ROAD,PRAHRAN,3004,NO,,
PRIVATE,VIC,THE AVENUE PRIVATE HOSPITAL,0036440K,40 THE AVENUE,WINDSOR,3181,YES,07-12-22,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,THE BAYS HOSPITAL,0035400F,VALE STREET & 86 VICTORIA STREET HASTINGS ,MORNINGTON,3931,YES,20-08-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,NSW,THE BORDER CANCER HOSPITAL,0017540J,201-239 BORELLA ROAD,ALBURY,2640,YES,29-10-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,SA,THE BURNSIDE WAR MEMORIAL HOSPITAL,0065050H,120 KENSINGTON ROAD,TOORAK GARDENS,5065,YES,06-10-22,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,QLD,THE CAIRNS CLINIC,0056100Y,253 SHERIDAN STREET,NORTH CAIRNS,4870,YES,02-11-22,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PUBLIC,ACT,THE CANBERRA HOSPITAL,0090030B,77 YAMBA DRIVE,GARRAN,2605,NO,,
PRIVATE,NSW,THE CATARACT CLINIC (AUST),0026900T,1 MCCLAREN STREET,NORTH SYDNEY,2060,YES,02-11-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,THE CHILDREN'S HOSPITAL AT WESTMEAD,0010300T,178 HAWKESBURY ROAD,WESTMEAD,2145,NO,,
PRIVATE,VIC,THE DIGESTIVE HEALTH CENTRE,0656701L,90 DAVID STREET,DANDENONG,3175,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,THE DOUBLE BAY DAY SURGERY,0882891Y,20 MANNING ROAD,DOUBLE BAY,2028,YES,25-05-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,TAS,THE EYE HOSPITAL,0834321J,262 CHARLES STREET,LAUNCESTON,7250,YES,11-11-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,THE FORENSIC HOSPITAL,0012860K,1300 ANZAC PARADE,MALABAR,2036,NO,,
PRIVATE,VIC,THE GEELONG CLINIC,0036590X,98 TOWNSEND ROAD,ST ALBANS PARK,3219,YES,19-05-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,VIC,THE GLEN ENDOSCOPY CENTRE,0043580H,302 SPRINGVALE ROAD,GLEN WAVERLEY,3150,YES,13-02-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,THE HADER CLINIC,0037020A,6-8 TOWNSEND ROAD,ST ALBANS PARK,3219,YES,24-08-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,NSW,THE HILLS CLINIC,0017410X,3 MCCAUSLAND PLACE,KELLYVILLE,2155,YES,12-02-22,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,TAS,THE HOBART CLINIC,0085130X,31 CHIPMANS ROAD,ROKEBY,7019,NO,,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PUBLIC,VIC,THE KILMORE AND DISTRICT HOSPITAL,0030560H,RUTLEDGE STREET,KILMORE,3764,NO,,
PUBLIC,NSW,THE MAITLAND HOSPITAL,0011650H,550-560 HIGH STREET,MAITLAND,2320,NO,,
PRIVATE,VIC,THE MELBOURNE CLINIC,0036520K,130 CHURCH STREET,RICHMOND,3121,YES,07-12-21,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,VIC,THE MELBOURNE EASTERN PRIVATE HOSPITAL,0036570A,157 SCORESBY ROAD,BORONIA,3155,YES,27-05-22,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PUBLIC,VIC,THE MORNINGTON CENTRE,0032110W,CNR TYALLA GROVE & SEPARATION STREET,MORNINGTON,3931,NO,,
PUBLIC,VIC,THE NORTHERN HOSPITAL,0030940W,185 COOPER STREET,EPPING,3076,NO,,
PUBLIC,QLD,THE PARK - CENTRE FOR MENTAL HEALTH,0051850A,CRN ELLERTON DRIVE & WOLSTON PARK ROAD,WACOL,4076,NO,,
PRIVATE,WA,THE PARK PRIVATE HOSPITAL,0075110W,14 ALVAN STREET,MOUNT LAWLEY,6050,YES,27-08-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
